date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_378,aVWAP_BoS_CHoCH_bull_442,aVWAP_BoS_CHoCH_bull_655,aVWAP_BoS_CHoCH_bull_751,aVWAP_BoS_CHoCH_bear_102,aVWAP_BoS_CHoCH_bear_405,aVWAP_BoS_CHoCH_bear_740,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-04-09 19:00:00+00:00,42.78,44.68,42.64,43.91,34170.0,,,,,42.74567682567525,,,42.818510724691535,"rgba(38, 166, 154, 1.0)",2.2078566366337897,42.818510724691535,0.49436600963937655,4,0.2976360818397434,1.1905443273589735,0.0,0.0,0.0,0.0
2025-04-10 14:00:00+00:00,40.75,41.46,40.34,40.94,10064.0,,,,,42.74110652418643,,,42.77582206456539,"rgba(38, 166, 154, 1.0)",2.186485894664658,42.77582206456539,-0.8396221850985012,4,0.29569990557783854,1.1827996223113542,0.0,0.0,0.0,0.0
2025-04-10 15:00:00+00:00,40.95,41.22,40.16,40.5,9363.0,,,,,42.736211317005,,,42.73820166957387,"rgba(38, 166, 154, 1.0)",2.1698173730598564,42.73820166957387,-1.0315161530933716,5,0.3961754820886719,1.9808774104433597,0.0,0.0,0.0,0.0
2025-04-10 16:00:00+00:00,40.67,40.97,39.75,40.85,7561.0,,,,,42.732081923782616,,,42.71043169483999,"rgba(38, 166, 154, 1.0)",2.137787180012775,42.71043169483999,-0.8702604787951207,4,0.45132704917367295,1.8053081966946918,0.0,0.0,0.0,0.0
2025-04-10 17:00:00+00:00,40.98,41.69,40.41,41.56,6070.0,,,,,42.729820075755235,,,42.69754162227135,"rgba(38, 166, 154, 1.0)",2.086540192033913,42.69754162227135,-0.545180786171437,4,0.4495382845468634,1.7981531381874536,0.0,0.0,0.0,0.0
2025-04-10 18:00:00+00:00,41.52,42.0,41.09,41.74,9991.0,,,,,42.727069721424364,,,42.68469011171953,"rgba(38, 166, 154, 1.0)",2.046215771120418,42.68469011171953,-0.4616766838827853,4,0.4488937550877088,1.7955750203508352,0.0,0.0,0.0,0.0
2025-04-10 19:00:00+00:00,41.55,41.96,40.68,41.11,12255.0,,,,,42.72263323300177,,,42.6639262613447,"rgba(38, 166, 154, 1.0)",2.0055915148215675,42.6639262613447,-0.7747969862561711,4,0.44735925214911554,1.7894370085964622,0.0,0.0,0.0,0.0
2025-04-11 14:00:00+00:00,41.91,42.065,40.955,41.905,12923.0,,,,,42.719220303772566,,,42.65164463127895,"rgba(38, 166, 154, 1.0)",1.963711146902317,42.65164463127895,-0.38022121148354837,4,0.4476329711043786,1.7905318844175144,0.0,0.0,0.0,0.0
2025-04-11 15:00:00+00:00,42.14,42.35,41.5,41.76,16186.0,,,,,42.71587529275428,,,42.642680753484946,"rgba(38, 166, 154, 1.0)",1.922701709799211,42.642680753484946,-0.45908356402154904,4,0.4478603562468252,1.7914414249873007,0.0,0.0,0.0,0.0
2025-04-11 16:00:00+00:00,41.76,42.5,41.725,42.335,10278.0,,,,,42.7145549451563,,,42.641540580953034,"rgba(38, 166, 154, 1.0)",1.8667944944970853,42.641540580953034,-0.16420692360977598,4,0.4514054592032323,1.805621836812929,0.0,0.0,0.0,0.0
