date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_162,aVWAP_BoS_CHoCH_bull_405,aVWAP_BoS_CHoCH_bull_578,aVWAP_BoS_CHoCH_bull_630,aVWAP_BoS_CHoCH_bull_773,aVWAP_BoS_CHoCH_bear_384,aVWAP_BoS_CHoCH_bear_804,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-04-14 19:00:00+00:00,242.84,244.38,241.95,242.625,14389.0,,,,,,,,239.4856269055866,"rgba(38, 166, 154, 1.0)",25.140827921999737,239.4856269055866,0.12487150797712036,0,,,0.0,0.0,0.0,0.0,68.34445700734086,13.299387687718486,True,False,True,False,True,1.3372931198720472
2025-04-15 14:00:00+00:00,242.81,243.59,238.67,240.96,2670.0,,,,,,,,239.52407675851205,"rgba(38, 166, 154, 1.0)",25.052443045530463,239.52407675851205,0.05731669517732462,0,,,0.0,0.0,0.0,0.0,67.34175473961187,13.299387687718486,True,False,True,False,True,0.4548248480947983
2025-04-15 15:00:00+00:00,240.96,241.03,238.35,239.06,2063.0,,,,,,,,239.52929782609635,"rgba(38, 166, 154, 1.0)",24.944728491657724,239.52929782609635,-0.018813507080395718,0,,,0.0,0.0,0.0,0.0,65.22294851027571,13.299387687718486,True,False,True,False,False,0.0
2025-04-15 16:00:00+00:00,239.06,240.5,239.06,239.3,2695.0,,,,,,,,239.53996216062842,"rgba(38, 166, 154, 1.0)",24.832946461766696,239.53996216062842,-0.009663056335173885,0,,,0.0,0.0,0.0,0.0,63.93232734268096,13.299387687718486,True,False,True,False,False,0.0
2025-04-15 17:00:00+00:00,239.3,240.16,238.1,238.28,3066.0,,,,,,,,239.53702097113813,"rgba(38, 166, 154, 1.0)",24.629127465314333,239.53702097113813,-0.05103798227965724,0,,,0.0,0.0,0.0,0.0,62.19459909362196,16.24318362913165,True,False,True,False,False,0.0
2025-04-15 18:00:00+00:00,238.19,239.87,237.78,238.92,5575.0,,,,,,,,239.53643867483873,"rgba(38, 166, 154, 1.0)",24.38430996369189,239.53643867483873,-0.02528013611033575,4,0.21316532673231178,0.8526613069292471,0.0,0.0,0.0,0.0,61.44055698748542,15.323937946987371,True,False,True,False,False,0.0
2025-04-15 19:00:00+00:00,238.69,239.74,237.97,238.52,12998.0,,,,,,,,239.53881475317684,"rgba(38, 166, 154, 1.0)",24.192709804498605,239.53881475317684,-0.042112469475716986,4,0.21324169690755412,0.8529667876302165,0.0,0.0,0.0,0.0,60.53336088152603,14.2463959245989,True,False,True,False,False,0.0
2025-04-16 14:00:00+00:00,234.6,235.96,233.95,235.06,6251.0,,,,,,,,239.4184628201274,"rgba(38, 166, 154, 1.0)",24.007428247024592,239.4184628201274,-0.18154642701754448,4,0.21323694338997,0.85294777355988,0.0,0.0,0.0,0.0,56.70677302624706,10.544924066610292,True,False,True,False,False,0.0
2025-04-16 15:00:00+00:00,235.64,235.7,232.1,232.645,7659.0,,,,,,,,239.23012029781756,"rgba(38, 166, 154, 1.0)",23.826018374764026,239.23012029781756,-0.27638358177346,4,0.2131459298901237,0.8525837195604948,0.0,0.0,0.0,0.0,52.284201519360096,6.491157907063325,True,False,False,False,False,0.0
2025-04-16 16:00:00+00:00,232.645,232.78,231.61,232.49,2062.0,,,,,,,,239.1710507083657,"rgba(38, 166, 154, 1.0)",23.62558054446623,239.1710507083657,-0.28278884812126137,4,0.21307703761001304,0.8523081504400521,0.0,0.0,0.0,0.0,49.21713573280956,3.7985558659573115,True,False,False,True,False,0.0
2025-04-16 17:00:00+00:00,232.49,233.06,229.96,229.96,3290.0,,,,,,,,239.0597495822342,"rgba(38, 166, 154, 1.0)",23.438562985768478,239.0597495822342,-0.38823837398902844,4,0.2128339525987168,0.8513358103948672,0.0,0.0,0.0,0.0,45.29367083234705,0.32383744729963837,False,False,False,True,False,0.0
2025-04-16 18:00:00+00:00,229.96,230.11,228.59,228.595,9068.0,,,,,,,,238.69932402966433,"rgba(38, 166, 154, 1.0)",23.216442007475752,238.69932402966433,-0.43522276266150983,4,0.21253035928278094,0.8501214371311238,0.0,0.0,0.0,0.0,41.75978350563343,-2.770670062985623,False,False,False,True,False,0.0
2025-04-16 19:00:00+00:00,228.595,228.91,227.845,227.92,35595.0,,,,,,,,237.4752876525853,"rgba(38, 166, 154, 1.0)",23.051267382835007,237.4752876525853,-0.41452330988536495,4,0.21214149358318035,0.8485659743327214,0.0,0.0,0.0,0.0,38.94920804970163,-5.237766748065333,False,True,False,True,False,0.0
2025-04-17 14:00:00+00:00,232.045,233.12,228.97,229.14,7700.0,,,,,,,,237.32079676007962,"rgba(38, 166, 154, 1.0)",22.796440745380757,237.32079676007962,-0.3588628966886993,4,0.21182544525968772,0.8473017810387509,0.0,0.0,0.0,0.0,38.720617667626826,-5.456192686676644,False,True,False,True,False,0.0
2025-04-17 15:00:00+00:00,229.02,230.49,227.515,228.02,6011.0,,,,,,,,235.75400112428096,"rgba(38, 166, 154, 1.0)",22.492862460092688,235.75400112428096,-0.3438424583799763,4,0.21149034674097006,0.8459613869638802,0.0,0.0,0.0,0.0,37.662374096814744,-6.63503424241874,False,True,False,True,False,0.0
2025-04-17 16:00:00+00:00,228.215,231.7,227.88,231.2,3255.0,,,,,,,,235.79591917665098,"rgba(38, 166, 154, 1.0)",22.12068194194236,235.79591917665098,-0.20776570942583872,4,0.21135320027036675,0.845412801081467,0.0,0.0,0.0,0.0,40.92961763316558,-6.63503424241874,False,True,False,True,True,0.0
2025-04-17 17:00:00+00:00,231.2,232.54,229.46,231.6,4500.0,,,,,,,,235.8466838890299,"rgba(38, 166, 154, 1.0)",21.63407346843946,235.8466838890299,-0.19629608336243778,4,0.21121975231160695,0.8448790092464278,0.0,0.0,0.0,0.0,43.554322812500644,-12.21693646272746,False,False,False,True,True,0.0
2025-04-17 18:00:00+00:00,231.61,231.61,230.31,230.33,5848.0,,,,,,,,235.8119672245397,"rgba(38, 166, 154, 1.0)",21.157021960219815,235.8119672245397,-0.25910864179500676,4,0.21104495397751005,0.8441798159100402,0.0,0.0,0.0,0.0,43.94612694089906,-11.663689344231678,False,False,False,True,True,0.0
2025-04-17 19:00:00+00:00,230.33,231.18,230.175,230.63,5797.0,,,,,,,,235.7559512185065,"rgba(38, 166, 154, 1.0)",20.751410686227256,235.7559512185065,-0.24701700024223494,4,0.21092584832830366,0.8437033933132146,0.0,0.0,0.0,0.0,44.607163099471826,-10.741040636448645,False,False,False,True,True,0.0
