date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_59,aVWAP_BoS_CHoCH_bull_194,aVWAP_BoS_CHoCH_bull_269,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-04-01 17:00:00+00:00,48.3,48.315,47.4,47.77,48629.0,42.90038251223696,44.70631771773186,45.823572810058735,43.81180987974339,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-04-02 17:00:00+00:00,48.16,48.39,48.08,48.365,18018.0,42.91110815254876,44.716799141929314,45.83770647441676,43.82324161309991,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-04-03 17:00:00+00:00,48.2,48.28,47.76,48.135,116257.0,42.97650234017345,44.77888887015343,45.91724768788395,43.88475623292227,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-04-04 17:00:00+00:00,44.82,44.98,44.245,44.755,65775.0,42.98851695085057,44.77765202593164,45.892274959576895,43.84893111458148,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-04-07 17:00:00+00:00,43.52,43.8,42.74,42.95,61043.0,42.98966718792818,44.76221494697465,45.84288012845565,43.764449595346136,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-04-08 17:00:00+00:00,44.1,44.22,43.13,43.48,175872.0,43.00120796439504,44.73132146784812,45.73220853838192,43.69951927809117,"rgba(239, 83, 80, 1.0)",1,0.4782685460720786,0.4782685460720786,0.0,0.0,0.0,0.0
2025-04-09 17:00:00+00:00,44.62,47.795,44.435,47.61,92307.0,43.03613734982025,44.7574385467506,45.75454903236681,43.77573886627876,"rgba(38, 166, 154, 1.0)",1,0.47435323748184527,0.47435323748184527,0.0,0.0,0.0,0.0
2025-04-10 17:00:00+00:00,47.65,48.05,46.93,47.595,51671.0,43.06030487431087,44.77877150791039,45.77932501950894,43.82469320779793,"rgba(38, 166, 154, 1.0)",2,1.3432962399996313,2.6865924799992627,0.0,0.0,0.0,0.0
2025-04-11 17:00:00+00:00,47.665,48.37,47.58,48.235,39649.0,43.08088173000455,44.798074963537594,45.80357293447729,43.864994193421566,"rgba(38, 166, 154, 1.0)",2,1.3267564593378305,2.653512918675661,0.0,0.0,0.0,0.0
2025-04-14 17:00:00+00:00,49.09,49.12,48.56,48.93,23337.0,43.09486682855211,44.81211894181894,45.822628940087505,43.89319544806935,"rgba(38, 166, 154, 1.0)",2,1.3054286056685243,2.6108572113370485,0.0,0.0,0.0,0.0
2025-04-15 17:00:00+00:00,49.14,49.18,48.93,48.99,19819.0,43.10702516204642,44.824446988916094,45.839484774780765,44.17291469172783,"rgba(38, 166, 154, 1.0)",2,1.2830170583622986,2.5660341167245972,0.0,0.0,0.0,0.0
2025-04-16 17:00:00+00:00,48.83,48.855,48.07,48.57,41834.0,43.13022413382374,44.84695624876917,45.86862581455466,44.193434492488734,"rgba(38, 166, 154, 1.0)",2,1.2661395254868542,2.5322790509737083,0.0,0.0,0.0,0.0
2025-04-17 17:00:00+00:00,48.975,49.02,48.41,48.435,35548.0,43.150230200846586,44.866506383573295,45.894028752070184,44.22453553722743,"rgba(38, 166, 154, 1.0)",2,1.2515587506351815,2.503117501270363,0.0,0.0,0.0,0.0
2025-04-18 17:00:00+00:00,48.435,48.435,48.435,48.435,0.0,43.150230200846586,44.866506383573295,45.894028752070184,44.22453553722743,"rgba(38, 166, 154, 1.0)",2,1.2409617192691123,2.4819234385382245,0.0,0.0,0.0,0.0
