date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2024-10-04 00:00:00+00:00,3.24,3.28,3.1,3.13,2078673,0,,,3.574551358633587
2024-10-07 00:00:00+00:00,3.5,3.56,3.2912,3.34,3641641,0,,,3.5823507927590232
2024-10-08 00:00:00+00:00,3.34,3.46,3.24,3.42,2031631,0,,,3.5843656886888295
2024-10-09 00:00:00+00:00,3.44,3.61,3.37,3.5,2780745,0,,,3.5893812381110264
2024-10-10 00:00:00+00:00,3.32,3.44,3.29,3.41,1947506,0,,,3.590678711239082
2024-10-11 00:00:00+00:00,3.67,3.745,3.27,3.29,2973494,0,,,3.5949362545953454
2024-10-14 00:00:00+00:00,3.6,3.63,3.47,3.63,1547804,0,,,3.597875478822362
2024-10-15 00:00:00+00:00,3.46,3.56,3.41,3.51,1831169,0,,,3.5985395835646563
2024-10-16 00:00:00+00:00,3.59,3.63,3.495,3.53,2471755,1,0.22626261053803134,0.22626261053803134,3.6030927247585347
2024-10-17 00:00:00+00:00,3.45,3.63,3.35,3.62,2161305,1,0.23409838671306987,0.23409838671306987,3.6042507852615793
2024-10-18 00:00:00+00:00,3.45,3.53,3.4,3.53,1303847,1,0.24142419024342318,0.24142419024342318,3.604755282503781
2024-10-21 00:00:00+00:00,3.46,3.475,3.35,3.45,1330528,1,0.2473093666878165,0.2473093666878165,3.6048598685943625
2024-10-22 00:00:00+00:00,3.66,3.68,3.415,3.44,1755688,1,0.25383220684350005,0.25383220684350005,3.6077349957996248
2024-10-23 00:00:00+00:00,3.49,3.665,3.43,3.61,1206936,1,0.26270149173942053,0.26270149173942053,3.608934838239396
2024-10-24 00:00:00+00:00,3.64,3.7,3.52,3.52,1680145,2,0.2522293092871947,0.5044586185743895,3.6119011943275297
2024-10-25 00:00:00+00:00,3.5,3.67,3.44,3.67,2133337,2,0.25851445727915834,0.5170289145583167,3.6138521783608346
2024-10-28 00:00:00+00:00,3.7,3.72,3.5,3.52,2492062,3,0.25236309412773317,0.7570892823831995,3.6180473033359295
2024-10-29 00:00:00+00:00,3.78,3.96,3.68,3.7,2449593,3,0.25625356495158075,0.7687606948547423,3.63456862564149
2024-10-30 00:00:00+00:00,3.59,3.77,3.5,3.75,1567104,3,0.26099495986592697,0.782984879597781,3.6325667938515918
2024-10-31 00:00:00+00:00,3.48,3.578,3.385,3.55,1411622,3,0.2665860690213131,0.7997582070639393,3.629293864584426
2024-11-01 00:00:00+00:00,3.62,3.695,3.5334,3.56,1145494,3,0.2690298682571229,0.8070896047713687,3.6300370093487544
2024-11-04 00:00:00+00:00,3.5,3.61,3.45,3.55,1086617,3,0.27497034400243797,0.8249110320073139,3.6294024751400915
2024-11-05 00:00:00+00:00,3.52,3.55,3.43,3.48,1192640,3,0.27975918760849444,0.8392775628254834,3.6286796027297656
2024-11-06 00:00:00+00:00,3.34,3.39,3.03,3.31,2989783,3,0.2833274516425902,0.8499823549277706,3.6013151226389732
2024-11-07 00:00:00+00:00,3.25,3.47,3.24,3.35,1308802,3,0.2875775476800457,0.862732643040137,3.600167455452399
2024-11-08 00:00:00+00:00,3.24,3.25,3.09,3.19,1486588,3,0.28960840286066775,0.8688252085820032,3.595169445048807
2024-11-11 00:00:00+00:00,3.42,3.455,3.222,3.27,1111476,3,0.2909540933641004,0.8728622800923012,3.5950861061857404
2024-11-12 00:00:00+00:00,3.21,3.35,3.175,3.31,1240047,3,0.29242547907995925,0.8772764372398778,3.592540355587327
2024-11-13 00:00:00+00:00,3.22,3.37,3.2,3.2,1220358,3,0.2929071711271854,0.8787215133815562,3.5905334561841222
2024-11-14 00:00:00+00:00,3.11,3.27,3.075,3.21,1368787,3,0.29391086158950835,0.8817325847685251,3.586445406993853
2024-11-15 00:00:00+00:00,3.06,3.12,3.05,3.11,856593,3,0.2946643055841,0.8839929167523,3.5832760241772084
2024-11-18 00:00:00+00:00,3.11,3.2183,3.06,3.06,858956,3,0.29531241029278266,0.885937230878348,3.5808111749169953
2024-11-19 00:00:00+00:00,3.14,3.25,3.09,3.12,944608,3,0.295483514548857,0.886450543646571,3.5785611057982423
2024-11-20 00:00:00+00:00,3.19,3.23,3.11,3.12,1013492,3,0.2955163741367472,0.8865491224102415,3.5764384907909275
2024-11-21 00:00:00+00:00,3.37,3.38,3.18,3.18,1045665,3,0.294473875715705,0.8834216271471149,3.575824322869214
2024-11-22 00:00:00+00:00,3.35,3.35,3.22,3.31,991566,3,0.2938997723081354,0.8816993169244063,3.5751900546687194
2024-11-25 00:00:00+00:00,3.47,3.485,3.23,3.35,1517303,3,0.29229126868164773,0.8768738060449432,3.5323724138233366
2024-11-26 00:00:00+00:00,3.24,3.4,3.22,3.39,1263598,3,0.2918852919660487,0.8756558758981461,3.528940075795333
2024-11-27 00:00:00+00:00,3.3,3.39,3.24,3.29,936664,3,0.29127909930556267,0.873837297916688,3.527979167071007
2024-11-29 00:00:00+00:00,3.38,3.47,3.33,3.4,752247,3,0.29020681360581074,0.8706204408174323,3.5286132706099513
2024-12-02 00:00:00+00:00,3.32,3.47,3.27,3.42,1175491,3,0.28990649441437627,0.8697194832431288,3.528476748620862
2024-12-03 00:00:00+00:00,3.32,3.39,3.27,3.28,745110,3,0.2895717753523836,0.8687153260571507,3.528035721690113
2024-12-04 00:00:00+00:00,3.11,3.36,3.05,3.31,1664006,3,0.2896426891920379,0.8689280675761137,3.5233936012586957
2024-12-05 00:00:00+00:00,3.19,3.2,3.06,3.12,1323436,3,0.2909097376085502,0.8727292128256506,3.519824385574668
